id,title,text
d1,비밀번호 재설정,비밀번호를 잊었다면 로그인 화면에서 비밀번호 찾기를 누릅니다. 가입한 이메일로 재설정 링크가 발송됩니다. 링크는 발송 후 30분 동안만 유효하므로 시간 안에 새 비밀번호를 정해야 합니다. 새 비밀번호는 영문과 숫자를 섞어 여덟 자 이상으로 만드는 것을 권장합니다. 링크가 오지 않으면 스팸함을 확인하거나 잠시 뒤 다시 시도합니다.
d2,2단계 인증 설정,계정 보안을 높이려면 설정 화면의 보안 탭에서 2단계 인증을 켭니다. 인증 앱으로 QR 코드를 스캔하면 여섯 자리 인증 코드가 표시됩니다. 로그인할 때마다 비밀번호에 더해 이 코드를 입력하게 됩니다.
d3,파일 업로드 용량 제한,한 번에 올릴 수 있는 파일 용량은 무료 요금제에서 하나당 100메가바이트입니다. 유료 요금제는 하나당 최대 5기가바이트까지 올릴 수 있습니다. 용량을 넘는 파일은 압축하거나 외부 링크로 공유하는 것을 권장합니다.
d4,파일 공유와 권한,올린 파일은 공유 버튼으로 팀원에게 링크를 보낼 수 있습니다. 링크에는 보기 전용과 편집 가능 두 가지 권한을 지정합니다. 권한은 파일 상세 화면에서 언제든 바꿀 수 있습니다.
d5,채널 생성과 관리,새 대화 공간이 필요하면 채널을 만듭니다. 채널 이름과 공개 범위를 정하면 곧바로 팀원을 초대할 수 있습니다. 공개 채널은 누구나 찾아 들어올 수 있고 비공개 채널은 초대받은 사람만 볼 수 있습니다.
d6,알림 설정,"알림이 너무 많으면 설정 화면의 알림 탭에서 조절합니다. 채널별로 모든 메시지, 멘션만, 끄기 중에서 고를 수 있습니다. 집중이 필요할 때는 방해 금지 시간을 정해 두면 그 시간에는 알림이 오지 않습니다."
d7,화상회의 시작하기,채널 상단의 화상회의 버튼을 누르면 즉시 회의가 열립니다. 참가자는 회의 링크를 받아 브라우저나 앱으로 들어옵니다. 회의 중에는 마이크와 카메라를 각각 켜고 끌 수 있습니다. 최대 참가 인원은 요금제에 따라 다르며 무료 요금제는 한 회의에 열 명까지 참여합니다. 회의 내용을 남기려면 녹화 버튼을 눌러 클라우드에 저장합니다.
d8,화면 공유,화상회의 중 화면 공유 버튼을 누르면 내 화면을 참가자에게 보여 줄 수 있습니다. 전체 화면과 특정 창 중에서 공유 대상을 고릅니다. 발표가 끝나면 공유 중지를 눌러 화면 공유를 멈춥니다.
d9,멤버 초대,새 팀원을 부르려면 초대 버튼을 눌러 이메일 주소를 입력합니다. 초대장을 받은 사람이 링크를 눌러 가입하면 팀에 합류합니다. 아직 수락하지 않은 초대는 대기 목록에서 다시 보낼 수 있습니다.
d10,역할과 권한 관리,"팀원마다 관리자, 일반, 게스트 역할을 지정할 수 있습니다. 관리자는 채널과 멤버를 관리하고 게스트는 초대된 채널만 볼 수 있습니다. 역할은 멤버 관리 화면에서 바꿉니다."
d11,메시지 검색,예전 대화를 찾으려면 상단 검색창에 단어를 입력합니다. 보낸 사람이나 채널로 검색 범위를 좁힐 수 있습니다. 파일 이름으로도 검색해 첨부 파일을 빠르게 찾습니다.
d12,데이터 내보내기,대화 기록을 백업하려면 관리자 설정에서 데이터 내보내기를 신청합니다. 내보내기가 준비되면 압축 파일 다운로드 링크가 이메일로 옵니다. 내보내기는 관리자 권한이 있어야 실행할 수 있습니다.
d13,요금제와 결제,팀워크스는 무료 요금제와 두 가지 유료 요금제를 제공합니다. 유료 요금제는 파일 용량과 회의 인원 한도가 넓어집니다. 결제는 관리자 설정의 결제 화면에서 신용카드로 진행합니다. 요금은 팀원 수에 따라 매달 청구되며 연간 결제를 고르면 할인이 적용됩니다. 요금제는 언제든 올리거나 내릴 수 있고 변경은 다음 결제일부터 반영됩니다.
d14,모바일 앱 설치,이동 중에도 쓰려면 스토어에서 팀워크스 앱을 내려받습니다. 앱에서 같은 계정으로 로그인하면 대화와 파일이 그대로 이어집니다. 앱 알림을 켜면 새 메시지를 휴대폰에서 바로 받습니다.
d15,다크 모드 설정,화면이 눈부시면 설정 화면의 화면 탭에서 다크 모드를 켭니다. 밝은 테마와 어두운 테마 중에서 고를 수 있습니다. 기기 설정을 따르게 하면 시스템에 맞춰 자동으로 바뀝니다.
d16,외부 앱 연동,"자주 쓰는 서비스를 연동하려면 설정 화면의 연동 탭에서 앱을 추가합니다. 일정, 문서, 알림 봇 같은 앱을 채널에 붙일 수 있습니다. 연동한 앱은 관리자가 언제든 지울 수 있습니다."
